ticker,weight,ISIN,total_score,govern_score,social_score,environ_score,industry,company
MAT,0.000221,US5770811025,58.44,63.48,52.89,61.19,Recreation,"Mattel, Inc. (NasdaqGS:MAT)"
MCD,0.0052380000000000005,US5801351017,57.68,53.79,55.69,61.86,Restaurant/Dining,McDonald's Corporation (NYSE:MCD)
MCHP,0.000731,US5950171042,59.89,62.05,61.4,57.23,Semiconductor,Microchip Technology Incorporated (NasdaqGS:MCHP)
MCK,0.001077,US58155Q1031,57.12,71.86,43.64,63.7,Healthcare Support Services,McKesson Corporation (NYSE:MCK)
MCO,0.00114,US6153691059,59.62,55.64,60.17,64.06,Financial Svcs. (Non-bank & Insurance),Moody's Corporation (NYSE:MCO)
MDLZ,0.002546,US6092071058,63.23,59.72,56.65,73.26,Food Processing,"Mondelez International, Inc. (NasdaqGS:MDLZ)"
MDT,0.005443,IE00BTN1Y115,65.48,65.0,58.79,78.1,Healthcare Products,Medtronic plc (NYSE:MDT)
MET,0.0018850000000000002,US59156R1086,61.17,55.62,63.78,65.42,Insurance (Life),"MetLife, Inc. (NYSE:MET)"
MGM,0.000558,US5529531015,55.16,62.02,51.25,54.31,Hotel/Gaming,MGM Resorts International (NYSE:MGM)
MHK,0.00044400000000000006,US6081901042,52.78,57.99,48.98,53.39,Furn/Home Furnishings,"Mohawk Industries, Inc. (NYSE:MHK)"
MKC,0.0006450000000000001,US5797802064,65.39,69.04,56.6,72.83,Food Processing,"McCormick & Company, Incorporated (NYSE:MKC)"
MLM,0.000466,US5732841060,51.75,60.45,49.32,48.43,Construction Supplies,"Martin Marietta Materials, Inc. (NYSE:MLM)"
MMC,0.001714,US5717481023,63.72,62.0,67.15,62.25,Insurance (General),"Marsh & McLennan Companies, Inc. (NYSE:MMC)"
MMM,0.0050420000000000005,US88579Y1010,65.84,71.75,69.51,58.92,Diversified,3M Company (NYSE:MMM)
MNST,0.000924,US61174X1090,41.41,47.41,36.87,42.33,Beverage (Soft),Monster Beverage Corporation (NasdaqGS:MNST)
MO,0.004601,US02209S1033,60.75,71.08,53.15,62.07,Tobacco,"Altria Group, Inc. (NYSE:MO)"
MOS,0.00046399999999999995,US61945C1036,58.89,68.75,60.93,50.95,Chemical (Specialty),The Mosaic Company (NYSE:MOS)
MPC,0.001506,US56585A1025,60.28,66.85,61.45,54.25,Oilfield Svcs/Equip.,Marathon Petroleum Corporation (NYSE:MPC)
MRK,0.007706,US58933Y1055,67.47,66.37,66.57,70.41,Drugs (Pharmaceutical),"Merck & Co., Inc. (NYSE:MRK)"
MRO,0.00082,US5658491064,60.88,61.8,60.15,61.06,Oil/Gas (Production and Exploration),Marathon Oil Corporation (NYSE:MRO)
MS,0.0025039999999999997,US6174464486,61.87,49.99,59.58,79.33,Brokerage & Investment Banking,Morgan Stanley (NYSE:MS)
MSCI,0.0006580000000000001,US55354G1004,60.89,63.95,74.27,42.74,Financial Svcs. (Non-bank & Insurance),MSCI Inc. (NYSE:MSCI)
MSFT,0.035914,US5949181045,73.92,71.35,70.74,80.83,Software (System & Application),Microsoft Corporation (NasdaqGS:MSFT)
MSI,0.000837,US6200763075,73.24,63.49,70.25,81.94,Telecom. Equipment,"Motorola Solutions, Inc. (NYSE:MSI)"
MTB,0.000964,US55261F1049,48.09,48.17,59.63,35.67,Banks (Regional),M&T Bank Corporation (NYSE:MTB)
MTD,0.00064,US5926881054,65.0,71.06,51.97,81.17,Heathcare Information and Technology,Mettler-Toledo International Inc. (NYSE:MTD)
MU,0.0021100000000000003,US5951121038,62.76,65.19,67.54,57.07,Semiconductor,"Micron Technology, Inc. (NasdaqGS:MU)"
MYL,0.000754,NL0011031208,52.73,49.22,46.8,67.64,Drugs (Pharmaceutical),Mylan N.V. (NasdaqGS:MYL)
NBL,0.000617,US6550441058,66.03,64.6,74.64,57.22,Oil/Gas (Production and Exploration),"Noble Energy, Inc. (NasdaqGS:NBL)"
NCLH,0.000469,BMG667211046,50.51,63.32,51.16,41.93,Hotel/Gaming,Norwegian Cruise Line Holdings Ltd. (NYSE:NCLH)
NDAQ,0.00040599999999999995,US6311031081,48.98,49.01,53.52,44.1,Financial Svcs. (Non-bank & Insurance),"Nasdaq, Inc. (NasdaqGS:NDAQ)"
NEE,0.0031899999999999997,US65339F1012,66.92,69.62,78.94,57.41,Power,"NextEra Energy, Inc. (NYSE:NEE)"
NEM,0.0006519999999999999,US6516391066,73.5,88.56,68.19,68.8,Precious Metals,Newmont Goldcorp Corporation (NYSE:NEM)
NFLX,0.006729000000000001,US64110L1061,41.45,45.5,40.99,39.07,Entertainment,"Netflix, Inc. (NasdaqGS:NFLX)"
NFX,0.000233,US6512901082,65.24,70.3,66.47,60.22,,
NI,0.000365,US65473P1057,72.0,78.65,68.98,70.32,Utility (General),NiSource Inc. (NYSE:NI)
NKE,0.004381,US6541061031,64.42,57.26,57.2,77.79,Shoe,"NIKE, Inc. (NYSE:NKE)"
NKTR,0.000396,US6402681083,,,,,Drugs (Pharmaceutical),Nektar Therapeutics (NasdaqGS:NKTR)
NLSN,0.0004,GB00BWFY5505,68.82,68.95,71.23,66.63,Business & Consumer Services,Nielsen Holdings plc (NYSE:NLSN)
NOC,0.002238,US6668071029,66.98,79.0,62.32,61.34,Aerospace/Defense,Northrop Grumman Corporation (NYSE:NOC)
NOV,0.000677,US6370711011,55.36,59.9,49.43,57.71,Oilfield Svcs/Equip.,"National Oilwell Varco, Inc. (NYSE:NOV)"
NRG,0.000462,US6293775085,64.45,69.99,64.82,61.13,Power,"NRG Energy, Inc. (NYSE:NRG)"
NSC,0.0021030000000000003,US6558441084,51.62,65.85,46.06,47.82,Transportation (Railroads),Norfolk Southern Corporation (NYSE:NSC)
NTAP,0.0009050000000000001,US64110D1046,65.63,59.65,67.97,67.31,Computers/Peripherals,"NetApp, Inc. (NasdaqGS:NTAP)"
NTRS,0.000938,US6658591044,66.68,73.33,62.26,63.0,Investments & Asset Management,Northern Trust Corporation (NasdaqGS:NTRS)
NUE,0.000824,US6703461052,49.67,53.88,40.08,57.61,Steel,Nucor Corporation (NYSE:NUE)
NVDA,0.007127,US67066G1040,75.08,70.39,71.97,80.73,Semiconductor,NVIDIA Corporation (NasdaqGS:NVDA)
NWL,0.000359,US6512291062,53.43,60.5,50.68,51.53,Household Products,Newell Brands Inc. (NasdaqGS:NWL)
NWS,6.3e-05,US65249B2088,,,,,,
NWSA,0.000202,US65249B1098,54.24,50.98,48.86,68.24,Publishing & Newspapers,News Corporation (NasdaqGS:NWSA)
O,0.000665,US7561091049,45.74,55.72,41.93,41.12,R.E.I.T.,Realty Income Corporation (NYSE:O)
OKE,0.001142,US6826801036,64.01,76.68,63.13,55.99,Oil/Gas Distribution,"ONEOK, Inc. (NYSE:OKE)"
OMC,0.000624,US6819191064,53.92,65.15,47.12,56.28,Advertising,Omnicom Group Inc. (NYSE:OMC)
ORCL,0.005929,US68389X1054,69.27,56.55,66.42,84.17,Software (System & Application),Oracle Corporation (NYSE:ORCL)
ORLY,0.001141,US67103H1077,47.16,62.14,47.32,36.29,Retail (Automotive),"O'Reilly Automotive, Inc. (NasdaqGS:ORLY)"
OXY,0.002565,US6745991058,68.09,60.55,87.88,50.86,Oil/Gas (Integrated),Occidental Petroleum Corporation (NYSE:OXY)
PAYX,0.00095,US7043261079,46.18,66.55,37.65,42.0,Information Services,"Paychex, Inc. (NasdaqGS:PAYX)"
PBCT,0.000236,US7127041058,49.71,54.35,58.54,34.42,Banks (Regional),"People's United Financial, Inc. (NasdaqGS:PBCT)"
PCAR,0.000978,US6937181088,53.52,58.95,42.47,59.78,Construction Supplies,PACCAR Inc (NasdaqGS:PCAR)
PCG,0.0009539999999999999,US69331C1080,74.33,77.55,70.5,75.1,Power,PG&E Corporation (NYSE:PCG)
PEG,0.001072,US7445731067,69.01,73.35,75.07,62.55,Utility (General),Public Service Enterprise Group Incorporated (NYSE:PEG)
PEP,0.006343,US7134481081,67.27,74.7,58.96,71.46,Beverage (Soft),"PepsiCo, Inc. (NasdaqGS:PEP)"
PFE,0.010514,US7170811035,59.02,68.47,51.06,62.0,Drugs (Pharmaceutical),Pfizer Inc. (NYSE:PFE)
PFG,0.000629,US74251V1026,62.58,68.7,63.27,54.08,Insurance (Life),"Principal Financial Group, Inc. (NasdaqGS:PFG)"
